Organizations involved,States,Areas,Ownership,Industry code[1],Union,Union acronym,Union Local,Bargaining unit,Work stoppage beginning date,Work stoppage ending date,Number of workers[2],"Days idle, cumulative for this work stoppage[3]",Note
"Quad City Builders Association, Inc.",IL,Rock Island,Private industry,2362,United Brotherhood of Carpenters,UBC,,,5/21/98,5/28/98,"1,800","9,000",
Associated General Contractors; Great Lakes Fabricators and Erectors Association,MI,Detroit area,Private industry,23812,"Bridge, Structural, Ornamental and Iron Workers",BSOIW,,Iron workers,6/1/98,6/1/98,"2,500","2,500",
Southeastern Pennsylvania Transportation Authority,PA,Philadelphia,State government,48521,Amalgamated Transit Union,ATU,,,6/1/98,7/10/98,"4,200","121,800",
Michigan Road Builders Association,MI,Statewide,Private industry,23731,International Union of Operating Engineers,IUOE,,,6/4/98,6/5/98,"4,000","8,000",
General Motors Corp.,Interstate,,Private industry,3361,United Automobile Workers,UAW,,,6/5/98,7/29/98,"152,200","3,313,000","Excludes Canada and Mexico. The number of workers involved increased between the start and end of the stoppage. Number of workers did not exceed 152,200. "
Tecumseh Products Company,WI,New Holstein,Private industry,333618,International Association of Machinists,IAM,,,7/1/98,7/18/98,"1,800","21,600",
Lucent Technologies Inc.,OH,Columbus,Private industry,33421,International Brotherhood of Electrical Workers,IBEW,,,7/6/98,7/22/98,"2,500","32,500",
BeefAmerica,NE,Norfolk,Private industry,311611,United Food and Commercial Workers,UFCW,,,7/13/98,7/28/98,"1,200","14,400",
Bell Atlantic Corp.,Interstate,,Private industry,51711,Communications Workers of America,CWA,,,8/9/98,8/11/98,"73,000","146,000",
Trinity Industries Inc.,PA,Greenville,Private industry,33651,United Automobile Workers,UAW,,,8/12/98,8/12/98,"1,700","1,700",Manufacturing railroad cars. Plant closed 2001.
Consolidated Rail Company,Interstate,,Private industry,482111,Brotherhood of Maintenance of Way Employees,BMWE,,,8/14/98,8/14/98,"23,500","23,500",
US West Corp.,Interstate,,Private industry,51711,Communications Workers of America,CWA,,,8/16/98,8/30/98,"34,000","340,000",
Southern New England Telecommunications Company,Interstate,,Private industry,51711,Communications Workers of America,CWA,,,8/23/98,9/17/98,"6,300","113,400",
Northwest Airlines,Interstate,,Private industry,481111,Air Line Pilots Association,ALPA,,,8/29/98,9/10/98,"33,700","214,600","Initially 6,200 workers."
Continental General Tire Company,NC,Charlotte,Private industry,326211,United Steelworkers,USW,,,9/21/98,9/19/99,"1,400","348,600",
Kaiser Aluminum Corp.,"LA, OH, WA",Multiple states,Private industry,331312,United Steelworkers,USW,,,10/1/98,9/18/00,"3,000","1,479,000",
Libbey Inc.,OH,Toledo,Private industry,32721,"Glass, Molders, Pottery and Plastic workers",GMP,,,10/1/98,10/11/98,"1,100","7,700",
Rheem Manufacturing Company,AR,Fort Smith,Private industry,333415,United Steelworkers,USW,,,10/1/98,10/7/98,"1,200","6,000",
Fedders Air Conditioning,IL,Effingham,Private industry,333415,International Brotherhood of Boilermakers,BBF,,,10/12/98,11/2/98,"1,000","15,000",
Anheuser-Busch Inc.,MO,St. Louis,Private industry,31212,International Brotherhood of Teamsters,IBT,,,10/22/98,10/23/98,"1,700","3,400",
American Broadcasting System,"NY, CA, DC, IL",Multiple states,Private industry,51512,Communications Workers of America,CWA,,,11/2/98,1/15/99,"2,200","112,200",
Albert Einstein College of Medicine,NY,Bronx,Private industry,62211,National Health and Human Service Employees Union,NHHSEU,,,11/10/98,11/13/98,"1,100","3,300",
Jersey City Public Schools,NJ,Jersey City,Local government,61111,Jersey City Education Association,JCEA,,,11/19/98,11/23/98,"3,800","11,400",
University of California,CA,Statewide,State government,61131,Communications Workers of America,CWA,,,12/1/98,12/6/98,"1,200","4,800","There were 9,000 workers on strike at 8 campuses, but only 1,200 had collective bargaining rights."
ANR Advance Transportation Company,"OH, WI, IL, NY, MI, OH, MO, TX, IA, IN, KS, KY, TN, MN",Multiple states,Private industry,484122,International Brotherhood of Boilermakers,IBT,,,12/8/98,12/18/98,"1,400","12,600",
Women and Infants Hospital,RI,Providence,Private industry,62211,New England Health Care Employees Union,NEHE,District 1199,,12/22/98,1/14/99,"1,200","19,200",
Anchorage School District,AK,Anchorage,Local government,61111,Totem Association of Educational Support Personnel,TAESP,Independent,,1/15/99,1/21/99,"1,000","4,000",
Trane Company,TN,Clarksville,Private industry,333415,International Association of Machinists,IAM,,,1/16/99,2/7/99,"1,800","25,200",
American Airlines,Interstate,,Private industry,481111,Allied Pilots Association,APA,Independent,,2/6/99,2/16/99,"2,900","10,300","Rolling work stoppage, number of pilots involved on a daily basis did not exceed 2,900 workers. "
Women and Infants Hospital,RI,Providence,Private industry,62211,New England Health Care Employees Union,NEHE,District 1199,,2/27/99,2/27/99,"1,200","1,200",
University of Michigan,MI,Ann Arbor,State government,61131,Graduate Employees Organization,GEO,Independent,,3/10/99,3/11/99,"1,100","2,200",
Newport News Shipbuilding and Drydock Company,VA,Newport News,Private industry,336611,United Steelworkers,USW,,,4/5/99,7/30/99,"8,000","622,500",
State of Washington,WA,Statewide,State government,61111,Washington Education Association,WEA,,,4/14/99,4/23/99,"11,000","25,600","Series of rolling single-day stoppages, on 04/23/1999 there were approximately 4,000 workers involved. "
SMARCA Inc.,MN,Minneapolis-St. Paul area,Private industry,23822,Sheet Metal Workers,SMW,,,5/5/99,5/10/99,"1,600","4,800",
Ingalls Shipbuilding Inc.,MS,Pascagoula,Private industry,336611,Metal Trades Council,MTC,,,5/16/99,6/4/99,"7,000","98,000",
Independent Contractors,CA,San Mateo County,Private industry,236,United Brotherhood of Carpenters,UBC,,,5/20/99,5/21/99,"1,000","2,000",
IBP Inc.,WA,Pasco,Private industry,311611,International Brotherhood of Teamsters,IBT,,,6/4/99,7/7/99,"1,000","19,200",
Buckeye Steel Castings Company,OH,Columbus,Private industry,331513,United Steelworkers,USW,,,6/27/99,7/11/99,"1,200","10,800",Steel castings for freight and passenger rail market. Also large castings for general industrial use serving mining and construction industries.
Overnite Transportation Co.,"TN, IN, GA, KS, LA, MN, OH, MI, FL",Multiple states,Private industry,484122,International Brotherhood of Teamsters,IBT,,,7/5/99,7/9/99,"1,700","6,100",
Board of Education of the School District of the City of Detroit,MI,Detroit,Local government,61111,Detroit Federation of Teachers,AFT,,,8/30/99,9/7/99,"11,000","66,000",
Atlantic City Casino Hotels,NJ,Atlantic City,Private industry,72112,Hotel Employees and Restaurant Employees,HERE,,,9/15/99,9/16/99,"12,000","24,000",
Bruno's Inc.,AL,Statewide,Private industry,44511,United Food and Commercial Workers,UFCW,,,9/26/99,10/2/99,"7,100","35,500",
Board of Education of the School District of the School District of the City of Birmingham,AL,Birmingham,Local government,61111,Alabama Education Association,NEA,,,11/15/99,11/16/99,"2,000","3,600",
Boeing Company,"WA, OR, KS",Multiple states,Private industry,336411,Society of Professional Engineering Employees in Aerospace,SPEEA,,,2/9/00,3/19/00,"17,000","459,000",
Kaiser Permanente,CO,Denver area,Private industry,621491,United Food and Commercial Workers,UFCW,,,3/2/00,3/21/00,"1,100","15,400",
Interstate Brands Corp.,"ME, NY, PA, NJ, MA, RI, CT, NH, VT",Multiple states,Private industry,311812,International Brotherhood of Teamsters,IBT,,,3/16/00,3/23/00,"4,600","22,200",Commercial bakery that distributes products to supermarkets and convenience stores.
Associated Wholesale Grocers,"MO, OK",Kansas City; Springfield; Oklahoma City,Private industry,4244,International Brotherhood of Teamsters,IBT,,,4/2/00,6/2/00,"1,400","61,600",
Los Angeles janitorial maintenance contractors,CA,Los Angeles County,Private industry,56172,Service Employees International Union,SEIU,,,4/3/00,4/24/00,"8,500","103,800",
Lockheed Martin Aeronautics Company,TX,Fort Worth,Private industry,33641,International Association of Machinists,IAM,,,4/10/00,4/26/00,"2,300","29,900",Tactical aircraft systems.
Building Owners and Managers Association,IL,Chicago,Private industry,5311,Service Employees International Union,SEIU,,,4/17/00,4/17/00,"5,000","5,000",
Cleaning Contractors Association,IL,Chicago,Private industry,56172,Service Employees International Union,SEIU,,,4/18/00,4/28/00,"4,500","40,500",
University of California,CA,,State government,61131,United Automobile Workers,UAW,,,4/18/00,4/18/00,"5,000","5,000",
Association of National Advertisers; American Association of Advertising Agencies,"AR, MA, IL, OH, TX, CO, NV, NM, UT, MI, FL, GA, HI, MN, MO, TN, NC, PA, OR, CA, WA, DC, MD",Multiple states,Private industry,54181,American Federation of Television and Radio Artists and Screen Actors Guild,"AFTRA, SAG",,,5/1/00,10/30/00,"135,000","17,280,000",
Ohio State University,OH,Statewide,State government,61131,Communications Workers of America,CWA,,,5/1/00,5/19/00,"1,900","28,500",
Association of Master Painters and Decorators of New York,NY,"New York City, Long Island, and Westchester County",Private industry,23832,International Union of Painters and Allied Trades,IUPAT,,,6/1/00,6/9/00,"4,000","28,000",
Stanford Hospital and Clinics and Lucile Salter Packard Children's Hospital,CA,Palo Alto,Private industry,622,Committee For Recognition of Nursing Achievement,CRONA,Independent,,6/7/00,7/27/00,"1,700","61,200",
Maytag Herrin Laundry Products,IL,Herrin,Private industry,335224,International Association of Machinists,IAM,,,6/12/00,6/17/00,"1,200","6,000",
Northern Illinois Ready Mix and Materials Association; Prairie Materials; and Ozinga Brothers,IL,Cook County,Private industry,23811,International Brotherhood of Teamsters,IBT,,,6/15/00,6/24/00,"3,400","23,800",
Hotel employers,MN,Minneapolis and Bloomington,Private industry,72111,Hotel Employees and Restaurant Employees,HERE,,,6/16/00,6/27/00,"1,100","6,800",
Hospitals - 10,CA,Bay and Northern areas,Private industry,622,Service Employees International Union,SEIU,,,7/6/00,7/6/00,"3,800","3,800",
Associated General Contractors and others,NJ,Northern,Private industry,23812,"Bridge, Structural, Ornamental and Iron Workers",BSOIW,,,7/10/00,7/13/00,"2,200","8,800",
Rhode Island Correctional Facilities,RI,Providence,State government,92214,Rhode Island Brotherhood of Correctional Officers,RIBCO,Independent,,7/26/00,7/26/00,"1,200","1,200",
Northern California Drywall Contractors Association,CA,Northern,Private industry,23831,International Union of Painters and Allied Trades,IUPAT,,,8/1/00,8/16/00,"1,200","14,400",
Hospitals - 8,CA,Bay and Northern areas,Private industry,622,Service Employees International Union,SEIU,,,8/2/00,8/3/00,"3,500","7,000",
Verizon Communications,"ME, NH, VT, MA, RI, NY, NJ, DE, PA, MD, VA, WV, DC",Multiple states,Private industry,517,Communications Workers of America and International Brotherhood of Electrical Workers,"CWA, IBEW",,,8/6/00,8/23/00,"85,000","955,000",
Earthgrain Company,"AL, GA, TN, KY, IL, CO, IA, MS, TX, CA, WI",Multiple states,Private industry,3118,"Bakery, Confectionary, Tobacco Workers and Grain Millers International Union",BCTGM,,,8/26/00,9/22/00,"4,100","51,500","The number of workers involved increased by 2,500 during the month of September."
Raytheon Company,MA,Eastern,Private industry,33441,International Brotherhood of Electrical Workers,IBEW,,,8/27/00,10/2/00,"3,100","77,500",
Bath Iron Works,ME,Bath,Private industry,336611,International Association of Machinists,IAM,,,8/28/00,10/22/00,"4,800","182,400",
"Board of Education, City of Buffalo",NY,Buffalo,Local government,61111,Buffalo Teachers Federation,NEA,,,9/7/00,9/7/00,"3,900","3,900",
"Board of Education, City of Buffalo",NY,Buffalo,Local government,61111,Buffalo Teachers Federation,NEA,,,9/14/00,9/14/00,"3,900","3,900",
Los Angeles County Metropolitan Transportation Authority,CA,Los Angeles County,Local government,485111,United Transportation Union,UTU,,,9/16/00,10/17/00,"7,400","148,000",
Hospitals - 3,CA,Bay area,Private industry,622,Service Employees International Union,SEIU,,,9/20/00,9/20/00,"1,600","1,600",
Washington Hospital Center,DC,Washington,Private industry,622,District of Columbia Nurses Association/American Nurses Association,DCNA,Independent,,9/20/00,11/8/00,"1,000","35,000",
Building and Realty Institute,NY,Westchester County,Private industry,5311,Service Employees International Union,SEIU,,,10/4/00,10/10/00,"4,000","16,000",
Kroger Company,"OH, WV",Multiple states,Private industry,44511,United Food and Commercial Workers,UFCW,,,10/11/00,10/11/00,"1,400","1,400",
Los Angeles County,CA,Los Angeles County,Local government,92,Service Employees International Union,SEIU,,,10/11/00,10/11/00,"47,000","47,000",
Rhode Island Hospital,RI,Providence,Local government,622,International Brotherhood of Teamsters,IBT,,,10/16/00,10/16/00,"1,200","1,200",
Summit Logistics Inc.,CA,Tracy,Private industry,424410,International Brotherhood of Teamsters,IBT,,,10/18/00,12/1/00,"1,900","55,300",Workers involved increased by 300 on 11/01/2000.
Hospitals - 8,CA,Bay and Northern areas,Private industry,622,Service Employees International Union,SEIU,,,10/25/00,10/25/00,"3,500","3,500",
Frigidaire Freezer Products,MN,St. Cloud,Private industry,335222,International Association of Machinists,IAM,,,10/28/00,11/18/00,"1,600","24,000",
Olin Corporation,IL,East Alton,Private industry,332992,International Association of Machinists,IAM,,,12/4/00,1/21/01,"2,700","86,400",
Hospitals - 18,CA,Statewide,Private industry,622,Service Employees International Union,SEIU,,,12/14/00,12/14/00,"6,000","6,000",
Baltimore hospitals - 3,MD,Baltimore,Private industry,62211,Service Employees International Union,SEIU,,,1/31/01,2/1/01,"2,000","2,000",Work stoppage lasted 3 shifts (24 hours); it began on 01/31/2001 at 6 a.m. and ended on 02/01/2001 at 6 a.m.
Trane Company,KY,Lexington,Private industry,333415,United Automobile Workers,UAW,,,2/26/01,3/23/01,"1,200","24,000",
Baltimore hospitals - 3 ,MD,Baltimore,Private industry,62211,Service Employees International Union,SEIU,,,3/15/01,3/16/01,"2,000","2,000",Work stoppage lasted 3 shifts.
Connecticut nursing homes,CT,Statewide,Private industry,62311,Service Employees International Union,SEIU,,,3/20/01,3/21/01,"4,500","4,500",Work stoppage lasted 3 shifts.
Comair,Interstate,,Private industry,481111,Air Line Pilots Association,ALPA,,,3/26/01,6/14/01,"3,300","116,600","Work stoppage idled 1,300 workers in March. An additional 2,000 workers were idled in May."
Mechanical Contractors Association of Southern Indiana and others,"IN, IL",Southern areas,Private industry,23822,Plumbers and Pipefitters Union,PPF,,,4/2/01,4/12/01,"1,000","9,000",
Hawaii Department of Education,HI,Statewide,State government,61111,National Education Association,NEA,,,4/5/01,4/23/01,"12,400","161,200",
University of Hawaii,HI,Statewide,State government,61131,National Education Association,NEA,,,4/5/01,4/17/01,"2,500","22,500",
Hospitals,CA,Northern,Private industry,62211,Service Employees International Union,SEIU,,,4/16/01,4/19/01,"3,500","10,500",Work stoppage lasted 9 shifts over 3 days.
Associated General Contractors and others,MN,Minneapolis-St. Paul,Private industry,23814,International Union of Bricklayers and Allied Craftworkers,BAC,,Bricklayers,5/1/01,5/29/01,"1,000","20,000",
Des Moines Construction Council,IA,Des Moines,Private industry,236,United Brotherhood of Carpenters,UBC,Independent,,5/1/01,5/5/01,"1,200","4,800",
Seattle Public Schools District,WA,Seattle,Local government,61111,National Education Association,NEA,,,5/1/01,5/1/01,"6,900","6,900",
Connecticut nursing homes,CT,Statewide,Private industry,62311,Service Employees International Union,SEIU,,,5/2/01,5/24/01,"4,600","69,700","Work stoppage started on 05/01/2001, and involve less than 1,000 workers until 05/02/2001. On 05/25/2001, the number decreased below 1,000 again."
Associated General Contractors and others,MN,Minneapolis-St. Paul,Private industry,2362,Laborers International Union of North America,LIUNA,,,5/7/01,5/11/01,"4,000","20,000",
Weyerhaeuser Company,"WA, OR",Multiple states,Private industry,3221,"United Brotherhood of Carpenters, Western Pulp and Paper Workers","UBC, WPPW",Independent,,5/9/01,5/31/01,"1,400","22,400",
Peoples Gas Company,IL,Chicago,Private industry,22121,Utility Workers Union of America,UWUA,,Gas workers,5/19/01,6/8/01,"1,000","14,000",
Minnesota Hospital Healthcare Partnership,MN,Minneapolis,Private industry,62211,Minnesota Nurses Association,MNA,,,6/3/01,6/23/01,"1,400","21,000",
Northwest Wall and Ceiling Contractors Association,WA,Seattle,Private industry,23831,United Brotherhood of Carpenters,UBC,Independent,,6/12/01,6/18/01,"2,200","11,000",
Midwest Generation Company,IL,Chicago,Private industry,22112,International Brotherhood of Electrical Workers,IBEW,,,6/28/01,10/16/01,"1,100","88,000",
Northern California Painters and Finishing Contractors,CA,San Francisco area,Private industry,23832,Painters and Allied Trades,PAT,,,7/1/01,7/30/01,"1,000","21,000",
Painters and Decorators Joint Committee,CA,Oakland area,Private industry,23832,Painters and Allied Trades,PAT,,,7/1/01,7/23/01,"1,200","18,000",
Automobile Dealers Association,MO,St. Louis,Private industry,44111,International Association of Machinists,IAM,,,8/1/01,8/27/01,"1,700","32,300",
Sheet Metal Contractors Association,MA,Boston area,Private industry,23822,Sheet Metal Workers,SMW,,,8/1/01,8/12/01,"1,400","11,200",
Mitsubishi Manufacturing Co.,IL,Normal,Private industry,3361,United Automobile Workers,UAW,,,8/24/01,8/24/01,"2,700","2,700",
Shop Rite Supermarkets,NJ,Southern,Private industry,44511,United Food and Commercial Workers,UFCW,,,9/7/01,10/28/01,"1,400","49,000",
Maytag Company,IA,Amana,Private industry,335222,International Association of Machinists,IAM,,,9/23/01,11/11/01,"1,600","54,400",
State of Minnesota,MN,Statewide,State government,92,"American Federation of State, County and Municipal Employees; Minnesota Association of Professional Employees",AFSCME; MAPE,Independent,,10/1/01,10/14/01,"24,900","242,500",
"Pratt and Whitney Division, United Technologies Corp.",CT,Statewide,Private industry,336412,International Association of Machinists,IAM,,,12/3/01,12/13/01,"5,000","45,000",
Oregon Health and Sciences University,OR,Portland,Private industry,62211,Oregon Nurses Association,ONA,,,12/17/01,2/10/02,"1,000","37,000",
Queens bus lines - 3,NY,Queens,Local government,485113,Transport Workers Union,TWU,,,2/27/02,2/28/02,"1,500","3,000",
Lockheed Martin Corporation,"GA, MS, WV",Multiple states,Private industry,336,International Association of Machinists,IAM,,,3/11/02,4/28/02,"2,900","101,500",
"Group Health, Inc.",NY,New York,Private industry,524114,Office and Professional Employees International Union,OPEIU,,,4/16/02,5/17/02,"1,300","31,200",
Hershey Foods Corporation,PA,Hershey,Private industry,311320,"Bakery, Confectionery, Tobacco Workers and Grain Millers International Union",BCTGM,,,4/26/02,6/8/02,"2,800","84,000",
Connecticut Construction Industry Association,CT,Hartford,Private industry,237310,United Brotherhood of Carpenters,UBC,Independent,,5/1/02,5/14/02,"3,000","30,000",
Twin Cities Roofing Contractors Association,MN,Minneapolis,Private industry,238160,"United Union of Roofers, Waterproofers, and Allied Workers",RWAW,,Roofers,5/1/02,6/11/02,"1,000","29,000",
Carrier Corporation,IN,Indianapolis,Private industry,333415,United Steelworkers,USW,,,5/3/02,5/13/02,"1,100","7,700",
Queens bus lines - 3,NY,Queens,Local government,485113,Transport Workers Union,TWU,,,6/17/02,8/6/02,"1,500","54,000",
Mechanical Contractors Association of New York,NY,New York,Private industry,23822,Plumbers and Pipefitters Union,PPF,,Steamfitters,7/1/02,7/5/02,"1,700","6,800",
Cook County,IL,Chicago,Local government,92211,"American Federation of State, County and Municipal Employees",AFSCME,,,7/11/02,7/11/02,"3,800","3,800",
Delta Dental,CA,Northern,Private industry,524114,International Brotherhood of Teamsters,IBT,,,7/19/02,8/12/02,"1,200","20,400",
"Dominion - Dominion Energy, Dominion North Carolina Power, Dominion Virginia Power","VA, NC, WV",Multiple states,Private industry,2211,International Brotherhood of Electric Workers,IBEW,,,8/2/02,8/15/02,"3,500","35,000",
Boeing Company,PA,Philadelphia,Private industry,336411,United Automobile Workers,UAW,,,9/14/02,9/22/02,"1,400","7,000",
Pacific Maritime Association,"CA, OR, WA",Multiple states,Private industry,488320,International Longshore and Warehouse Union,ILWU,,,9/27/02,10/9/02,"10,500","129,500",
Maintenance Contractors of New England,MA,Boston,Private industry,56172,Service Employees International Union,SEIU,,,9/30/02,10/23/02,"1,800","32,400",
Plainfield Community Consolidated Schools District,IL,Plainfield,Local government,61111,National Education Association,NEA,Independent,,10/28/02,10/31/02,"1,200","4,800",
General Electric Corporation,MA,Lynn,Private industry,336412,"International Union of Electronic, Electrical, Salaried, Machine and Furniture Workers",IUE,,Communications workers,11/1/02,11/4/02,"3,200","9,600",
Billings Board of Education,MT,Billings,Local government,61111,National Education Association,NEA,Independent,,11/7/02,11/26/02,"1,100","14,300",
Kuakini Medical Center; Queen's Medical Center; St. Francis Medical Center,HI,Honolulu,Private industry,622110,Hawaii Nurses Association/American Nurses Association,HNA,Independent,,12/3/02,1/16/03,"1,400","42,400","Stoppage began on 12/02/2002, but involved less than 1,000 workers until 12/03/2002. On 01/17/2003, the number of workers involved decreased below 1,000."
General Electric Corp.,"KY, PA, NY, OH, CA, CT",Multiple states,Private industry,334612,"International Union of Electronic, Electrical, Salaried, Machine and Furniture Workers, United Electrical, Radio and Machine Workers of America - Independent","IUE, UE",,,1/14/03,1/15/03,"17,500","35,000",
Yale University,CT,New Haven,Private industry,61131,Hotel Employees and Restaurant Employees,HERE,"34, 35",,3/3/03,3/7/03,"2,500","12,500",
League of American Theaters and Producers,NY,New York,Private industry,71111,American Federation of Musicians,AFM,,,3/7/03,3/10/03,"1,500","6,000",
Lockheed Martin Aeronautics Company,TX,Fort Worth,Private industry,336411,International Association of Machinists,IAM,766,,4/14/03,4/27/03,"4,000","40,000",
Dow Chemical Company,TX,Freeport,Private industry,325211,International Union of Operating Engineers,IUOE,,,5/20/03,5/28/03,"1,300","7,800",
Associated General Contractors of Washington,WA,Statewide,Private industry,236220,United Brotherhood of Carpenters,UBC,,,6/25/03,7/3/03,"4,000","28,000",
San Joaquin County,CA,Stockton,Local government,921190,Service Employees International Union,SEIU,790,,8/4/03,8/8/03,"5,000","25,000",
Oahu Transit Services Inc.,HI,Honolulu,Private industry,485111,International Brotherhood of Teamsters,IBT,996,,8/26/03,9/27/03,"1,300","29,900",
Yale University,CT,New Haven,Private industry,61131,Hotel Employees and Restaurant Employees,HERE,"34, 35",,8/27/03,9/19/03,"1,900","32,300",
Chicago Area Refuse Haulers Association,IL,Chicago,Private industry,562219,International Brotherhood of Teamsters,IBT,,,10/1/03,10/9/03,"3,300","23,100",
"Dierbergs, Schnucks, and Shop 'N Save Markets",MO,St. Louis,Private industry,445110,United Food and Commercial Workers,UFCW,655,,10/7/03,10/31/03,"10,200","183,600",
"Albertsons, Ralphs, and Vons Markets",CA,Southern CA,Private industry,445110,United Food and Commercial Workers,UFCW,7 locals,,10/12/03,2/29/04,"67,300","5,718,100","The number of workers idled was 67,300 until 12/23/03 when it decreased to 61,300 until 1/7/04 when it decreased to 60,000"
Kroger Company,"KY, OH, WV",Multiple states,Private industry,445110,United Food and Commercial Workers,UFCW,400,,10/13/03,12/11/03,"3,200","131,200",
Los Angeles County Metropolitan Transportation Authority,CA,Los Angeles,Local government,485111,Amalgamated Transit Union,ATU,,,10/14/03,11/17/03,"6,200","148,600",
"American Axle and Manufacturing, Inc.","MI, NY",Multiple states,Private industry,336350,United Automobile Workers,UAW,5 locals,,2/26/04,2/26/04,"6,700","6,700",
Metropolitan Council/Metro Transit,MN,Minneapolis-St. Paul,Local government,485111,Amalgamated Transit Union,ATU,1005,,3/4/04,4/16/04,"2,200","70,400",
SBC Communications Inc.,Nationwide,,Private industry,517110,Communication Workers of America,CWA,,,5/21/04,5/24/04,"102,000","204,000",
Visteon Corporation,IN,Bedford,Private industry,336322,"Communication Workers of America-International Union of Electronic, Electrical, Salaried, Machine and Furniture Workers",CWA-IUE,907,,5/30/04,6/13/04,"1,000","9,000",
Home Health Care Agencies,NY,New York,Private industry,621610,Service Employees International Union,SEIU,1199,,6/7/04,6/9/04,"23,000","57,000",
City of New York,NY,New York,Local government,624410,"American Federation of State, County and Municipal Employees",AFSCME,1707,,6/9/04,6/11/04,"7,000","21,000",
Maytag Corporation,IA,Newton,Private industry,335224,United Automobile Workers,UAW,997,,6/10/04,7/2/04,"1,600","27,200",
Automotive Dealers Association,MO,St. Louis,Private industry,441110,"International Association of Machinists, International Brotherhood of Teamsters","IAM, IBT",,,8/2/04,10/14/04,"2,000","104,000",
Group Health Cooperative of Puget Sound,WA,Seattle,Private industry,621491,Service Employees International Union,SEIU,,,8/23/04,8/27/04,"1,700","8,500",
Las Vegas Convention Center Service Providers,NV,Las Vegas,Private industry,561920,International Brotherhood of Teamsters,IBT,,,9/4/04,9/11/04,"3,000","12,000",
San Francisco Multi-Employer Group,CA,San Francisco,Private industry,721110,"United Needletrades Industrial, and Textile Employees-Hotel Employees and Restaurant Employees",UNITE HERE,,,9/29/04,11/23/04,"1,500","154,700","The number of workers idled was 1,500 until 10/1/04 when it increased to 4,100."
Hotel/Casino Employers,NJ,Atlantic City,Private industry,721120,"United Needletrades Industrial, and Textile Employees-Hotel Employees and Restaurant Employees",UNITE HERE,,,10/1/04,11/3/04,"10,000","230,000",
Ormet,OH,Hannibal,Private industry,331310,United Steelworkers,USW,"5724, 5760",,11/22/04,7/16/06,"1,200","522,600",
Turnpike Workers,PA,Fort Washington,State government,488490,International Brotherhood of Teamsters,IBT,,,11/24/04,11/30/04,"2,000","8,000",
Sutter Healthcare Hospitals,CA,San Francisco,Private industry,622110,Service Employees International Union,SEIU,250,,12/6/04,12/10/04,"7,000","35,000",
New Jersey Central Power and Light,NJ,Central New Jersey,Private industry,221122,International Brotherhood of Electric Workers,IBEW,Council U3,,12/8/04,3/15/05,"1,300","85,800",
St. John's Mercy Medical Center,MO,St. Louis,Private industry,622110,United Food and Commercial Workers,UFCW,655,,12/15/04,12/31/04,"1,500","16,500","On 12/31/14, the number of workers idled fell below 1,000."
Lockheed Martin Corporation,GA,Marietta,Private industry,336411,International Association of Machinists,IAM,709,,3/8/05,3/15/05,"3,000","18,000",
Cooper Tire and Rubber Company,AR,Texarkana,Private industry,326211,United Steelworkers,USW,752,,3/14/05,4/11/05,"1,700","34,000",
Elevator Manufacturers Association of New York - Kane Inc.; Otis Elevator Co.; Schindler Elevator Corp.,NY,New York City,Private industry,333921,International Union of Elevator Constructors,IUEC,1,,3/17/05,6/26/05,"1,200","85,200",
Plumbing and Mechanical Contractors Association,IL,Chicago,Private industry,236000,United Association of Steamfitters,UA,601,,4/14/05,5/2/05,"1,800","23,400",
University of California,CA,Oakland,State government,611310,Coalition of University Employees,,,,4/14/05,4/15/05,"2,000","2,000",
University of California,CA,Oakland,State government,611310,"American Federation of State, County and Municipal Employees",AFSME,3299,,4/14/05,4/15/05,"7,000","7,000",
University of California,CA,Oakland,State government,611310,University Professional and Technical Employees,,,,4/14/05,4/15/05,"2,000","2,000",
Mechanical Contractors Association,PA,Philadelphia,Private industry,236200,United Association of Steamfitters,UA,420,,5/1/05,5/4/05,"2,700","8,100",
Construction Employers Association,OH,Cleveland,Private industry,236200,Laborers International Union of North America,LIUNA,310,,5/2/05,5/11/05,"2,100","16,800",
NSTAR,MA,Braintree,Private industry,221110,Utility Workers Union of America,UWUA,369,,5/15/05,6/1/05,"1,900","22,800",
Coca-Cola Bottlers,"CA, CT","Southern California and Windsor, Connecticut",Private industry,312111,International Brotherhood of Teamsters,IBT,"848 ,896, 962, 986, 1035",,5/23/05,6/3/05,"1,900","17,100",
Moving and Storage Companies,NY,New York City area,Private industry,484210,International Brotherhood of Teamsters,IBT,814,,5/25/05,6/13/05,"1,000","12,000",
Mechanical Contractors Association,PA,Pittsburgh,Private industry,236200,United Association of Steamfitters,UA,449,,6/1/05,6/9/05,"1,000","7,000",
Mid-Michigan Mechanical Contractors Association,MI,Central,Private industry,236000,United Association of Steamfitters,UA,333,,6/1/05,6/3/05,"1,000","3,000",
Los Angeles Hotel Employer's Council,CA,Los Angeles,Private industry,721110,"United Needletrades Industrial, and Textile Employees-Hotel Employees and Restaurant Employees",UNITE HERE,11,,6/9/05,6/11/05,"2,400","7,200",
"Asarco, Inc.",AZ,Tucson,Private industry,212231,United Steelworkers,USW,"915, 5252, 88601, 88602",,6/30/05,11/15/05,"1,500","134,100","Initial work stoppage was 1,100 and later increased to 1,500."
